name,m_f,approx_percentage,num_in_us,rank,source_census,source_web
FIDELA,f,0.001,"1,518",3511,1990,http://names.mongabay.com/female_names_alpha.htm
FIDELIA,f,0.001,"1,518",4062,1990,http://names.mongabay.com/female_names_alpha.htm
FILOMENA,f,0.006,"9,109",1253,1990,http://names.mongabay.com/female_names_alpha.htm
FIONA,f,0.003,"4,554",1927,1990,http://names.mongabay.com/female_names_alpha.htm
FLAVIA,f,0.002,"3,036",2400,1990,http://names.mongabay.com/female_names_alpha.htm
FLETA,f,0.001,"1,518",3650,1990,http://names.mongabay.com/female_names_alpha.htm
FLO,f,0.002,"3,036",2259,1990,http://names.mongabay.com/female_names_alpha.htm
FLOR,f,0.006,"9,109",1264,1990,http://names.mongabay.com/female_names_alpha.htm
FLORA,f,0.049,"74,386",353,1990,http://names.mongabay.com/female_names_alpha.htm
FLORANCE,f,0.002,"3,036",2399,1990,http://names.mongabay.com/female_names_alpha.htm
FLORENCE,f,0.2,"303,618",107,1990,http://names.mongabay.com/female_names_alpha.htm
FLORENCIA,f,0.002,"3,036",2164,1990,http://names.mongabay.com/female_names_alpha.htm
FLORENE,f,0.003,"4,554",1761,1990,http://names.mongabay.com/female_names_alpha.htm
FLORENTINA,f,0.002,"3,036",2258,1990,http://names.mongabay.com/female_names_alpha.htm
FLORETTA,f,0.002,"3,036",2957,1990,http://names.mongabay.com/female_names_alpha.htm
FLORIA,f,0.001,"1,518",3889,1990,http://names.mongabay.com/female_names_alpha.htm
FLORIDA,f,0.004,"6,072",1628,1990,http://names.mongabay.com/female_names_alpha.htm
FLORINDA,f,0.002,"3,036",2257,1990,http://names.mongabay.com/female_names_alpha.htm
FLORINE,f,0.009,"13,663",970,1990,http://names.mongabay.com/female_names_alpha.htm
FLORRIE,f,0.001,"1,518",3888,1990,http://names.mongabay.com/female_names_alpha.htm
FLOSSIE,f,0.014,"21,253",726,1990,http://names.mongabay.com/female_names_alpha.htm
FLOY,f,0.005,"7,590",1387,1990,http://names.mongabay.com/female_names_alpha.htm
FONDA,f,0.003,"4,554",1728,1990,http://names.mongabay.com/female_names_alpha.htm
FRAN,f,0.011,"16,699",865,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCE,f,0.002,"3,036",2486,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCENE,f,0.001,"1,518",3387,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCES,f,0.37,"561,694",47,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCESCA,f,0.009,"13,663",966,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCHESCA,f,0.001,"1,518",3567,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCIE,f,0.002,"3,036",2956,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCINA,f,0.002,"3,036",2875,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCINE,f,0.025,"37,952",514,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCIS,f,0.039,"59,206",393,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCISCA,f,0.024,"36,434",542,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCISCO,f,0.002,"3,036",2724,1990,http://names.mongabay.com/female_names_alpha.htm
FRANCOISE,f,0.002,"3,036",3037,1990,http://names.mongabay.com/female_names_alpha.htm
